time,"Einspritzdruck, Ist","Schneckenvolumen, Ist","Auswerferweg, Ist","Einspritzstrom, Ist","Werkzeuggeschwindigkeit, Ist","Auswerfergeschwindigkeit, Ist","Werkzeugkraft, Ist","Werkzeugweg, Ist","Druckmesssystem 3, Ist","Temperaturmesssystem 5, Ist",id
0.0,-0.7,18.5,-0.02,0.0,-0.95,0.0,119.38,-0.02,0.0,31.1,1
0.05,22.98,18.34,-0.04,5.41,0.0,0.31,119.05,-0.02,0.0,31.2,1
0.1,25.27,18.04,-0.04,5.95,0.0,0.31,118.83,-0.02,0.0,31.1,1
0.15,26.96,17.75,-0.04,5.95,0.95,0.0,118.61,-0.02,0.0,31.1,1
0.2,38.99,17.45,-0.01,5.95,0.0,0.0,118.5,-0.02,0.0,31.1,1
0.25,42.18,17.15,0.03,5.92,0.0,0.92,118.5,-0.02,0.0,31.1,1
0.3,48.25,16.85,0.04,5.95,0.0,0.0,118.39,-0.02,0.0,31.1,1
0.35,76.0,16.55,0.05,5.95,0.0,0.31,118.17,-0.02,0.0,31.3,1
0.4,87.94,16.25,0.09,5.95,0.0,1.53,118.28,-0.02,0.0,31.2,1
0.45,90.52,15.95,0.13,5.98,0.0,-0.31,118.17,-0.02,0.0,31.3,1
0.5,92.01,15.65,0.14,5.98,0.0,0.31,118.17,-0.02,0.0,31.3,1
0.55,93.61,15.36,0.13,5.95,0.0,0.0,118.17,-0.02,0.0,31.2,1
0.6,94.4,15.06,0.13,5.95,0.0,-0.31,118.06,-0.02,0.0,31.3,1
0.65,95.79,14.76,0.15,5.98,0.0,-0.31,117.95,-0.02,0.0,31.2,1
0.7,97.39,14.46,0.14,5.98,0.0,0.0,117.95,-0.02,0.0,31.1,1
0.75,98.88,14.16,0.14,5.98,0.0,0.31,117.84,-0.02,0.0,31.4,1
0.8,99.87,13.86,0.14,5.95,0.0,0.0,117.84,-0.02,0.0,31.1,1
0.85,101.17,13.56,0.13,5.92,0.0,0.0,117.84,-0.02,0.0,31.1,1
0.9,103.35,13.27,0.13,5.95,0.0,0.31,117.84,-0.02,0.0,31.2,1
0.95,108.13,12.97,0.13,5.95,0.0,-0.31,117.84,-0.02,0.0,31.2,1
1.0,115.09,12.67,0.13,5.95,0.0,0.0,117.73,-0.02,0.0,31.2,1
1.05,122.45,12.37,0.14,5.95,0.0,0.0,117.73,-0.02,0.0,31.3,1
1.1,128.92,12.07,0.14,5.92,0.0,0.0,117.73,-0.02,0.0,31.2,1
1.15,133.1,11.77,0.13,5.92,0.0,-0.61,117.62,-0.02,0.0,31.3,1
1.2,137.57,11.48,0.14,5.95,0.0,0.61,117.73,-0.02,0.0,31.2,1
1.25,143.44,11.17,0.13,5.95,0.0,0.0,117.73,-0.02,0.0,31.3,1
1.3,193.38,10.88,0.13,5.92,0.0,0.31,117.73,-0.02,0.0,31.3,1
1.35,240.83,10.58,0.13,5.92,0.0,0.31,117.73,-0.02,0.0,31.2,1
1.4,274.25,10.28,0.13,5.92,0.0,0.0,117.73,-0.02,0.0,31.2,1
1.45,293.75,9.98,0.13,5.95,0.0,-0.61,117.73,-0.02,0.0,31.2,1
1.5,304.59,9.68,0.14,5.95,0.0,0.31,117.84,-0.02,0.0,31.3,1
1.55,312.45,9.38,0.15,5.95,0.0,0.0,117.84,-0.02,0.0,31.3,1
1.6,317.42,9.09,0.13,5.95,0.0,-0.31,117.73,-0.02,0.0,31.3,1
1.65,321.5,8.79,0.12,5.92,0.0,0.0,117.62,-0.02,0.11,31.3,1
1.7,326.28,8.49,0.13,5.92,0.0,0.61,117.73,-0.02,0.11,31.0,1
1.75,330.85,8.19,0.13,5.92,0.0,0.31,117.73,-0.02,0.11,31.3,1
1.8,337.82,7.89,0.13,5.92,0.0,0.31,117.73,-0.02,0.11,31.1,1
1.85,340.01,7.59,0.13,5.95,0.0,0.61,117.84,-0.02,0.11,31.1,1
1.9,344.78,7.29,0.13,5.95,0.0,-0.31,117.73,-0.02,0.11,31.2,1
1.95,350.65,7.0,0.13,5.92,0.0,-0.31,117.73,-0.02,0.11,31.0,1
2.0,351.74,6.7,0.13,5.92,0.0,0.0,117.73,-0.02,0.21,31.3,1
2.05,358.51,6.4,0.13,5.92,0.0,-0.31,117.95,-0.02,0.21,31.3,1
2.1,367.56,6.1,0.14,5.95,0.0,0.0,117.84,-0.02,0.21,31.3,1
2.15,378.6,5.8,0.14,5.95,0.0,-0.31,117.84,-0.02,0.11,31.2,1
2.2,396.21,5.5,0.13,5.95,0.0,0.31,117.95,-0.02,0.21,31.2,1
2.25,186.91,5.79,0.13,-9.54,0.0,0.61,117.5,-0.02,0.21,31.4,1
2.3,197.95,5.78,0.14,1.9,0.0,0.61,117.5,-0.02,0.11,31.3,1
2.35,64.56,6.04,0.13,-13.59,0.0,0.0,117.5,-0.02,0.11,31.3,1
2.4,-9.55,6.59,0.01,-7.13,0.0,-1.83,117.28,-0.04,0.0,31.3,1
2.45,3.98,6.77,-0.02,-2.42,0.0,-0.92,117.17,-0.02,0.11,31.3,1
2.5,10.35,6.83,-0.04,-0.72,0.0,0.92,117.06,-0.02,0.0,31.2,1
2.55,11.04,6.83,-0.01,0.0,0.0,0.31,117.06,-0.02,0.0,31.2,1
2.6,12.33,6.83,0.01,0.0,0.0,-0.31,116.95,-0.02,0.0,31.5,1
2.65,25.96,6.83,0.02,0.0,0.0,0.31,117.06,-0.02,0.0,31.2,1
2.7,33.82,6.91,0.02,-2.45,0.0,0.61,116.95,-0.02,0.0,31.3,1
2.75,23.77,7.11,0.01,-4.2,0.0,0.31,116.84,-0.02,0.0,31.1,1
2.8,16.61,7.31,0.02,-3.83,0.0,0.0,116.84,-0.02,0.0,31.3,1
2.85,18.1,7.47,0.04,-3.11,0.0,0.0,117.17,-0.02,0.0,31.3,1
2.9,20.69,7.62,0.04,-2.99,0.0,0.31,117.17,-0.02,0.0,31.1,1
2.95,21.39,7.78,0.04,-3.2,0.0,0.31,117.17,-0.02,0.0,31.1,1
3.0,20.29,7.95,0.12,-3.38,0.0,1.53,117.28,-0.02,0.0,31.3,1
3.05,19.8,8.12,0.11,-3.38,0.0,0.31,117.28,-0.02,0.0,31.3,1
3.1,20.69,8.28,0.13,-3.35,0.0,0.0,117.06,-0.02,0.0,31.2,1
3.15,19.6,8.45,0.12,-3.35,0.0,0.31,117.17,-0.02,0.0,31.1,1
3.2,20.39,8.62,0.12,-3.32,0.0,0.31,117.28,-0.02,0.0,31.2,1
3.25,19.6,8.79,0.11,-3.35,0.0,0.0,117.28,-0.02,0.0,31.2,1
3.3,19.8,8.96,0.11,-3.32,0.0,0.61,117.28,-0.02,0.0,31.4,1
3.35,20.19,9.13,0.12,-3.35,0.0,0.0,117.17,-0.02,0.0,31.0,1
3.4,19.8,9.3,0.12,-3.35,0.0,0.0,117.17,-0.02,0.0,31.3,1
3.45,20.69,9.47,0.12,-3.38,0.0,-0.31,117.28,-0.02,0.0,31.1,1
3.5,20.29,9.64,0.12,-3.41,0.0,-0.31,117.28,-0.02,0.0,31.0,1
3.55,19.7,9.81,0.12,-3.41,0.0,-0.31,117.28,-0.02,0.0,31.2,1
3.6,20.09,9.98,0.12,-3.41,0.0,-0.31,117.39,-0.02,0.0,31.3,1
3.65,20.09,10.15,0.13,-3.41,0.0,0.31,117.28,-0.02,0.0,31.2,1
3.7,19.5,10.33,0.12,-3.44,0.0,-0.31,117.17,-0.02,0.0,31.2,1
3.75,20.19,10.5,0.13,-3.41,0.0,0.31,117.17,-0.02,0.0,31.3,1
3.8,20.39,10.67,0.12,-3.44,0.0,0.31,117.28,-0.02,0.0,31.3,1
3.85,19.7,10.84,0.11,-3.44,0.0,0.31,117.28,-0.02,0.0,31.3,1
3.9,19.89,11.01,0.12,-3.41,0.0,-0.31,117.28,-0.02,0.0,31.1,1
3.95,20.69,11.19,0.12,-3.41,0.0,0.0,117.28,-0.02,0.0,31.2,1
4.0,20.19,11.36,0.12,-3.47,0.0,0.0,117.28,-0.02,0.0,31.2,1
4.05,19.4,11.54,0.12,-3.44,0.0,-0.31,117.28,-0.02,0.0,31.4,1
4.1,19.8,11.71,0.12,-3.47,0.0,-0.31,117.28,-0.02,-0.64,31.2,1
4.15,20.39,11.88,0.12,-3.44,0.0,0.61,117.28,-0.02,-0.64,31.3,1
4.2,20.39,12.06,0.11,-3.44,0.0,-0.61,117.28,-0.02,-0.64,31.4,1
4.25,19.4,12.23,0.12,-3.44,0.0,0.31,117.28,-0.02,-0.64,31.3,1
4.3,19.7,12.4,0.12,-3.35,0.0,-0.92,117.28,-0.02,-0.64,31.3,1
4.35,20.69,12.57,0.11,-3.38,0.0,0.61,117.28,-0.02,-0.64,31.3,1
4.4,19.8,12.75,0.11,-3.47,0.0,0.31,117.28,-0.02,-0.64,31.3,1
4.45,19.8,12.92,0.12,-3.47,0.0,0.31,117.17,-0.02,-0.64,31.1,1
4.5,20.29,13.09,0.11,-3.47,0.0,0.0,117.17,-0.02,-0.64,31.3,1
4.55,20.59,13.27,0.12,-3.47,0.0,0.31,117.28,-0.02,-0.64,31.4,1
4.6,19.89,13.44,0.12,-3.47,0.0,0.31,117.28,-0.02,-0.64,31.4,1
4.65,19.6,13.61,0.12,-3.41,0.0,0.0,117.17,-0.02,-0.64,31.3,1
4.7,20.19,13.79,0.12,-3.44,0.0,0.61,117.17,-0.02,-0.64,31.2,1
4.75,20.49,13.96,0.12,-3.47,0.0,0.31,117.17,-0.02,-0.64,31.0,1
4.8,21.69,14.14,0.12,-3.59,0.0,0.31,117.17,-0.02,-0.64,31.2,1
4.85,19.0,14.32,0.12,-3.5,0.0,0.0,117.17,-0.02,-0.64,31.4,1
4.9,19.3,14.49,0.11,-3.38,0.0,0.0,117.17,-0.02,-0.64,31.2,1
4.95,20.69,14.66,0.12,-3.35,0.0,0.92,117.28,-0.02,-0.64,31.2,1
5.0,20.79,14.84,0.11,-3.44,0.0,0.61,117.28,-0.02,-0.64,31.2,1
5.05,19.6,15.01,0.12,-3.53,0.0,-0.31,117.17,-0.02,-0.64,31.4,1
5.1,19.4,15.19,0.12,-3.47,0.0,-0.61,117.17,-0.02,-0.64,31.1,1
5.15,19.89,15.36,0.12,-3.41,0.0,-0.31,117.17,-0.02,-0.64,31.2,1
5.2,20.49,15.53,0.12,-3.41,0.0,0.31,117.28,-0.02,-0.64,31.2,1
5.25,20.09,15.71,0.12,-3.44,0.0,0.0,117.17,-0.02,-0.64,31.4,1
5.3,19.7,15.88,0.11,-3.47,0.0,-0.31,117.17,-0.02,-0.64,31.3,1
5.35,19.7,16.06,0.11,-3.53,0.0,0.31,117.17,-0.02,-0.64,31.3,1
5.4,19.89,16.24,0.12,-3.5,0.0,0.0,117.28,-0.02,-0.64,31.4,1
5.45,20.69,16.41,0.12,-3.5,0.0,0.61,117.28,-0.02,-0.64,31.3,1
5.5,9.15,16.54,0.12,-1.0,0.0,0.0,117.17,-0.02,-0.64,31.1,1
5.55,-34.82,16.89,0.12,-12.11,0.0,0.0,117.17,-0.02,-0.64,31.3,1
5.6,-37.0,17.83,0.13,-19.69,0.0,0.0,117.28,-0.02,-0.64,31.2,1
5.65,-14.52,18.47,0.12,-6.01,0.0,0.31,117.06,-0.02,-0.64,31.3,1
5.7,-6.86,18.5,0.02,-0.09,0.0,-2.75,116.95,-0.02,-0.64,31.3,1
5.75,-4.58,18.5,0.03,0.0,0.0,0.31,116.84,-0.02,-0.64,31.4,1
5.8,-3.98,18.5,0.04,0.0,0.0,0.31,116.84,-0.02,-0.64,31.3,1
5.85,-3.88,18.5,0.04,0.0,0.0,0.0,116.73,-0.02,-0.64,31.2,1
5.9,-3.48,18.5,0.05,0.0,0.0,0.31,116.73,-0.02,-0.64,31.3,1
5.95,-3.58,18.5,0.05,0.0,0.0,0.0,116.73,-0.02,-0.64,31.1,1
6.0,-3.18,18.5,0.05,0.0,0.0,0.0,116.62,-0.02,-0.64,31.3,1
6.05,-3.18,18.5,0.05,0.0,0.0,-0.61,116.73,-0.02,-0.64,31.5,1
6.1,-2.98,18.5,0.05,0.0,0.0,0.31,116.73,-0.02,-0.64,31.4,1
6.15,-2.79,18.5,0.05,0.0,0.0,0.31,117.73,-0.02,-0.64,31.3,1
6.2,-2.98,18.5,0.05,0.0,0.0,-0.61,112.53,-0.02,-0.64,31.3,1
6.25,-2.59,18.5,0.11,0.0,0.0,0.61,60.13,0.02,-0.64,31.3,1
6.3,-2.29,18.5,0.09,0.0,-0.95,-0.31,7.07,0.06,-0.64,31.3,1
6.35,-2.29,18.5,0.1,0.0,0.0,-0.31,-0.33,0.06,-0.64,31.3,1
6.4,-2.39,18.5,0.09,0.0,-2.86,-0.31,0.11,0.17,-0.64,31.2,1
6.45,-2.59,18.5,0.1,0.0,-2.86,0.31,0.22,0.34,-0.64,31.3,1
6.5,-2.49,18.5,0.1,0.0,-4.77,0.31,0.44,0.55,-0.64,31.5,1
6.55,-2.49,18.5,0.1,0.0,-4.77,0.0,0.44,0.8,-0.64,31.3,1
6.6,-2.49,18.5,0.1,0.0,-5.72,-0.92,0.33,1.11,-0.64,31.3,1
6.65,-2.39,18.5,0.1,0.0,-7.63,0.31,0.33,1.45,-0.64,31.2,1
6.7,-2.29,18.5,0.11,0.0,-7.63,0.0,0.44,1.85,-0.64,31.4,1
6.75,-2.29,18.5,0.1,0.0,-9.54,0.61,0.33,2.31,-0.64,31.3,1
6.8,-2.19,18.5,0.11,0.0,-10.49,0.31,0.44,2.84,-0.64,31.2,1
6.85,-2.09,18.5,0.1,0.0,-12.4,0.0,0.44,3.43,-0.64,31.3,1
6.9,-2.29,18.5,0.1,0.0,-13.35,0.61,0.44,4.1,-0.64,31.2,1
6.95,-2.29,18.5,0.1,0.0,-15.26,0.0,0.44,4.84,-0.64,31.3,1
7.0,-2.09,18.5,0.1,0.0,-17.17,0.0,0.44,5.66,-0.64,31.3,1
7.05,-2.19,18.5,0.1,0.0,-19.07,-0.92,0.33,6.58,-0.64,31.3,1
7.1,-2.39,18.5,0.1,0.0,-20.98,0.61,0.55,7.57,-0.64,31.4,1
7.15,-2.29,18.5,0.1,0.0,-21.94,0.61,0.44,8.68,-0.64,31.1,1
7.2,-2.29,18.5,0.11,0.0,-23.84,0.31,0.33,9.88,-0.64,31.3,1
7.25,-2.19,18.5,0.1,0.0,-26.7,-0.61,0.44,11.2,-0.64,31.2,1
7.3,-2.19,18.5,0.1,0.0,-28.61,-0.61,0.44,12.63,-0.64,31.3,1
7.35,-2.19,18.5,0.1,0.0,-31.47,0.31,0.44,14.15,-0.64,31.3,1
7.4,-2.09,18.5,0.1,0.0,-34.33,0.61,0.44,15.81,-0.64,31.3,1
7.45,-2.19,18.5,0.1,0.0,-36.24,0.0,0.33,17.59,-0.64,31.4,1
7.5,-2.09,18.5,0.1,0.0,-38.15,-0.31,0.44,19.49,-0.64,31.3,1
7.55,-2.09,18.5,0.1,0.0,-41.01,0.31,0.33,21.52,-0.64,31.2,1
7.6,-2.19,18.5,0.1,0.0,-43.87,-0.31,0.44,23.67,-0.64,31.3,1
7.65,-1.99,18.5,0.09,0.0,-47.69,0.0,0.33,25.98,-0.64,31.1,1
7.7,-2.09,18.5,0.1,0.0,-48.64,0.0,0.44,28.4,-0.64,31.3,1
7.75,-1.89,18.5,0.1,0.0,-51.5,-0.61,0.44,30.94,-0.64,31.4,1
7.8,-1.99,18.5,0.1,0.0,-54.36,0.31,0.44,33.61,-0.64,31.3,1
7.85,-1.99,18.5,0.1,0.0,-57.22,-0.31,0.44,36.41,-0.64,31.2,1
7.9,-2.29,18.5,0.09,0.0,-59.13,0.31,0.44,39.35,-0.64,31.3,1
7.95,-2.29,18.5,0.1,0.0,-100.14,0.0,0.0,43.93,-0.64,31.2,1
8.0,-1.79,18.5,0.1,0.0,-250.82,0.61,0.0,55.33,-0.64,31.1,1
8.05,-2.29,18.5,0.1,0.0,-466.36,0.0,-0.77,77.12,-0.64,31.3,1
8.1,-2.19,18.5,0.1,0.0,-755.33,0.31,-1.44,112.77,-0.64,31.1,1
8.15,-1.19,18.5,0.1,0.0,-1036.68,-0.61,0.0,162.68,-0.64,31.2,1
8.2,-1.99,18.5,0.1,0.0,-980.41,0.0,0.44,212.75,-0.64,31.1,1
8.25,-1.49,18.5,0.1,0.0,-753.43,0.61,0.33,251.97,-0.64,31.1,1
8.3,-1.09,18.5,0.12,0.0,-529.31,0.0,0.44,279.91,-0.64,31.2,1
8.35,-1.99,18.5,0.1,0.0,-291.83,-0.31,0.55,296.11,-0.64,31.2,1
8.4,-1.69,18.5,0.1,0.0,-44.82,0.31,0.11,300.05,-0.64,31.2,1
8.45,-1.99,18.5,0.1,0.0,0.0,0.31,0.0,300.05,-0.64,31.3,1
8.5,-1.99,18.5,1.12,0.0,-0.95,33.27,0.0,300.07,-0.64,31.2,1
8.55,-1.99,18.5,5.32,0.0,0.0,89.11,0.0,300.09,-0.64,31.3,1
8.6,-1.99,18.5,11.8,0.0,0.0,141.91,0.0,300.09,-0.64,31.4,1
8.65,-1.89,18.5,17.16,0.0,0.0,83.93,0.0,300.09,-0.64,31.3,1
8.7,-1.79,18.5,18.93,0.0,0.0,40.89,0.0,300.09,-0.64,31.2,1
8.75,-1.89,18.5,20.84,0.0,0.0,39.67,0.0,300.09,-0.64,31.2,1
8.8,-1.79,18.5,20.83,0.0,0.0,-0.61,0.0,300.09,-0.64,31.2,1
8.85,-1.79,18.5,20.83,0.0,0.0,0.31,0.0,300.09,-0.64,31.4,1
8.9,-1.89,18.5,20.83,0.0,0.0,0.0,0.0,300.09,-0.64,31.4,1
8.95,-1.79,18.5,20.83,0.0,0.0,0.0,0.0,300.09,-0.64,31.3,1
9.0,-1.99,18.5,20.83,0.0,0.0,0.92,0.0,300.09,-0.64,31.2,1
9.05,-1.99,18.5,20.83,0.0,0.0,-0.31,0.0,300.09,-0.64,31.2,1
9.1,-1.99,18.5,20.82,0.0,0.0,-0.31,0.0,300.09,-0.64,31.3,1
9.15,-1.79,18.5,20.83,0.0,0.0,0.31,0.0,300.09,-0.64,31.3,1
9.2,-1.79,18.5,20.82,0.0,0.0,0.61,0.0,300.09,-0.64,31.3,1
9.25,-1.89,18.5,20.82,0.0,0.0,0.31,0.0,300.09,-0.64,31.1,1
9.3,-1.79,18.5,20.83,0.0,0.0,0.61,0.0,300.09,-0.64,31.3,1
9.35,-1.99,18.5,20.83,0.0,0.0,0.0,0.0,300.09,-0.64,31.2,1
9.4,-1.89,18.5,20.82,0.0,0.0,-0.31,0.0,300.09,-0.64,31.2,1
9.45,-1.89,18.5,20.83,0.0,0.0,-0.31,0.0,300.09,-0.64,31.1,1
9.5,-1.89,18.5,20.82,0.0,0.0,0.31,0.0,300.09,-0.64,31.1,1
9.55,-1.89,18.5,20.82,0.0,0.0,0.0,0.0,300.09,-0.64,31.2,1
9.6,-1.89,18.5,20.83,0.0,0.0,0.31,0.0,300.09,-0.64,31.4,1
9.65,-1.89,18.5,20.83,0.0,0.0,0.0,-0.11,300.09,-0.64,31.2,1
9.7,-1.79,18.5,20.82,0.0,0.0,0.61,0.0,300.09,-0.64,31.2,1
9.75,-1.79,18.5,20.83,0.0,0.0,-0.31,0.0,300.09,-0.64,31.0,1
9.8,-1.79,18.5,20.82,0.0,0.0,0.61,0.0,300.09,-0.64,31.3,1
9.85,-1.79,18.5,20.82,0.0,0.0,0.31,0.0,300.09,-0.64,31.2,1
9.9,-1.99,18.5,16.17,0.0,0.0,-130.01,0.0,300.09,-0.64,31.1,1
9.95,-1.79,18.5,8.06,0.0,0.0,-158.39,0.0,300.09,-0.64,31.2,1
10.0,-1.89,18.5,3.28,0.0,0.0,-78.74,0.0,300.09,-0.64,31.2,1
10.05,-1.79,18.5,1.68,0.0,0.0,-26.25,0.0,300.09,-0.64,31.2,1
